id;name;region;type;difficulty;time;instructions;tags;calories;servings;description;img
267;Гон Пао Чицзи;Азиатская кухня;Обед;Medium;30;"[""Обжарьте курицу с арахисами и перцем чили."",""Добавьте соус из соевого масла, имбиря и чеснока."",""Готовьте до тех пор, пока все ингредиенты не проготовятся""]";"[""Азиатская кухня"",""Lunch""]";350;4;Это знаменитое китайское блюдо с куриной грудкой, арахисами и острым перцем чили.;pct_3
268;Яо цза фань;Азиатская кухня;Завтрак;Easy;20;"[""Вскипятите рис."",""Добавьте тертый имбирь и масло кунжутное.""]";"[""Азиатская кухня"",""Breakfast""]";200;2;Это распространенное китайское блюдо на завтрак, состоящее из риса с имбирем и кунжутным маслом.;pct_4
269;Мапо тофу;Азиатская кухня;Обед;Hard;45;"[""Обжарьте фарш с чесноком и имбирем."",""Добавьте нарезанный тофу, соус чили и кунжутное масло."",""Поварите до готовности.""]";"[""Азиатская кухня"",""Lunch""]";300;4;Это острое блюдо из тофу, фарша и соуса чили. Подается с рисом.;pct_5
270;Фунцзяньский ломоть;Азиатская кухня;Ужин;Medium;40;"[""Обжарьте говядину с красным перцем."",""Добавьте овощи и соус острый."",""Тушите до готовности""]";"[""Азиатская кухня"",""Diner""]";400;4;Это традиционное блюдо Фуцзяньской кухни с говядиной, овощами и острым соусом.;pct_6
271;Хунтунь суп;Азиатская кухня;Обед;Medium;30;"[""Сварите бульон из куриного мяса и имбиря."",""Добавьте лапшу, куриное филе и овощи.""]";"[""Азиатская кухня"",""Lunch""]";250;2;Этот ароматный суп с курицей и лапшой идеально подходит как обед.;pct_1
272;Чжоу;Азиатская кухня;Завтрак;Easy;15;"[""Отварите рис на воде."",""Добавьте имбирь и зелень.""]";"[""Азиатская кухня"",""Breakfast""]";180;2;Чжоу - это традиционная китайская каша, которую можно подавать на завтрак или ужин.;pct_2
273;Дун Фан;Азиатская кухня;Ужин;Medium;35;"[""Обжарьте рис с яйцом и овощами."",""Добавьте соус соевый и терияки, перемешайте.""]";"[""Азиатская кухня"",""Diner""]";320;3;Этот простой рис с овощами и соусом подойдет для ужина.;pct_3
274;Лай Мянь;Азиатская кухня;Обед;Hard;50;"[""Сварите лапшу."",""Обжарьте мясо с овощами и соусом."",""Перемешайте с лапшой.""]";"[""Азиатская кухня"",""Lunch""]";380;4;Лай Мянь - это горячее блюдо с лапшой, мясом и овощами.;pct_4
275;Бао цзи;Азиатская кухня;Завтрак;Medium;25;"[""Сварите тесто для бао."",""Начините мясом и зеленью."",""Приготовьте на пару.""]";"[""Азиатская кухня"",""Breakfast""]";230;3;Бао цзи - это паровые булочки с мясным фаршем, популярные на завтрак в Китае.;pct_5
276;Паста карбонара;Русская кухня;Обед;Medium;20;"[""Вскипятить воду и сварить спагетти"",""Обжарить мелко нарезанный бекон"",""Смешать бекон с отваренной пастой и яйцами"",""Подавать горячим""]";"[""Italian"",""Lunch""]";600;2;Паста карбонара - классическое итальянское блюдо, готовится очень быстро и просто.;pct_6
277;Пицца Маргарита;Русская кухня;Ужин;Medium;30;"[""Приготовить тесто для пиццы"",""Раскатать тесто и намазать томатным соусом"",""Выложить на тесто нарезанные помидоры и моцареллу"",""Припосыпать базиликом"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";700;4;"Пицца ""Маргарита"" - одно из самых популярных блюд не только в Италии, но и во всем мире.";pct_1
278;Ризотто с грибами;Русская кухня;Ужин;Hard;45;"[""Обжарить лук и чеснок"",""Добавить рис и залить бульоном"",""Постепенно добавлять нарезанные грибы и перемешивать"",""Добавить сливочное масло и сыр"",""Подавать горячим""]";"[""Italian"",""Diner""]";500;3;Ризотто с грибами - изысканное блюдо итальянской кухни, особенно популярное в осенне-зимний период.;pct_2
279;Брускетта с помидорами;Русская кухня;Завтрак;Easy;15;"[""Нарезать помидоры и базилик"",""Обжарить на гриле ломтики хлеба"",""Выложить помидоры и базилик сверху"",""Полить оливковым маслом"",""Посолить и поперчить""]";"[""Italian"",""Breakfast""]";400;2;Брускетта - отличное блюдо для легкого завтрака или перекуса, очень просто и быстро в приготовлении.;pct_3
280;Лазанья;Русская кухня;Ужин;Hard;60;"[""Приготовить соус болоньезе и бешамельный соус"",""Нарезать листы лазаньи и сложить их в форму"",""Перемежать слои соусов и сыра"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";800;6;Лазанья - традиционное итальянское блюдо, которое готовится долго, но результат стоит того.;pct_4
281;Панна котта;Русская кухня;Десерт;Easy;120;"[""Смешать желатин и сливки"",""Добавить ваниль и сахар"",""Поставить в холодильник до застывания"",""Подавать с фруктами или ягодами""]";"[""Italian"",""Breakfast""]";300;4;Панна котта - легкий и нежный десерт, который подойдет как для повседневного, так и для праздничного стола.;pct_5
282;Минестроне;Русская кухня;Обед;Medium;40;"[""Обжарить лук, морковь и сельдерей"",""Добавить бульон и нарезанные овощи"",""Варить до готовности"",""Добавить макароны и зелень"",""Подавать горячим""]";"[""Italian"",""Lunch""]";450;4;Минестроне - суп из разных овощей, макарон и зелени, который погреет вас в холодные дни.;pct_6
283;Тирамису;Русская кухня;Десерт;Medium;60;"[""Смешать молоко с яйцами и сахаром"",""Варить крем"",""Поставить в холодильник"",""Взбить маскарпоне"",""Собрать слои савоярди, крема и какао 6. Положить в холодильник""]";"[""Italian"",""Breakfast""]";400;6;Тирамису - знаменитый итальянский десерт, который популярен во всем мире своим нежным вкусом и ароматом.;pct_1
284;Оссобуко;Русская кухня;Ужин;Hard;120;"[""Обжарить мясо"",""Добавить овощи и залить вином"",""Тушить до готовности"",""Подавать с гарниром""]";"[""Italian"",""Diner""]";700;2;Оссобуко - традиционное мясное блюдо итальянской кухни, готовится долго, но вкус неповторим.;pct_2
285;Шоколадный мусс;Русская кухня;Десерт;Easy;30;"[""Растопить шоколад и сливки"",""Взбить смесь до образования мусса"",""Поставить в холодильник до застывания"",""Подавать с ягодами""]";"[""Italian"",""Breakfast""]";500;4;Шоколадный мусс - нежный десерт с насыщенным шоколадным вкусом, прекрасно дополнит ваш обед или ужин.;pct_3
286;Капрезе;Русская кухня;Завтрак;Easy;10;"[""Нарезать помидоры и моцареллу"",""Перемежать слои помидоров и сыра"",""Полить оливковым маслом"",""Посолить и поперчить""]";"[""Italian"",""Breakfast""]";300;2;Капрезе - классическое итальянское блюдо из свежих помидоров, моцареллы и базилика, идеально для легкого завтрака.;pct_4
287;Равиоли с рикоттой и шпинатом;Русская кухня;Обед;Medium;60;"[""Смешать рикотту с шпинатом и приправами"",""Вырезать круги теста и на каждый выложить начинку"",""Сложить в половину и прижать края"",""Варить в подсоленной воде"",""Подавать с соусом""]";"[""Italian"",""Lunch""]";550;4;Равиоли с рикоттой и шпинатом - изысканное блюдо, которое станет отличным выбором для сытного обеда.;pct_5
288;Фокачча;Русская кухня;Завтрак;Easy;30;"[""Замешать тесто из муки, воды, дрожжей и соли"",""Раскатать и нарезать тесто"",""Полить оливковым маслом и посыпать травами"",""Выпекать в духовке""]";"[""Italian"",""Breakfast""]";400;3;Фокачча - итальянский хлеб с травами и маслом, замечательно подходит на завтрак.;pct_6
289;Пепперони пицца;Русская кухня;Ужин;Medium;25;"[""Приготовить тесто для пиццы"",""Намазать соусом и выложить пепперони"",""Положить нарезанный сыр"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";650;4;Пепперони пицца - популярное итальянское блюдо с острой колбасой, и острым перцем, которое идеально для ужинов в кругу семьи.;pct_1
290;Мини канинье сарды;Русская кухня;Обед;Medium;40;"[""Подготовить начинку из сардель, хлеба, петрушки и чеснока"",""Выложить наружное тесто и выкладывать начинку"",""Закрыть внутренним тестом"",""Запекать в духовке""]";"[""Italian"",""Lunch""]";500;6;Мини канинье сарды - аппетитные итальянские пирожки с начинкой из сардель, которые подойдут как основное блюдо обеда.;pct_2
291;Оливье салат;Русская кухня;Обед;Easy;20;"[""Нарезать отварные овощи, мясо и яйца"",""Смешать все ингредиенты"",""Добавить майонез"",""Посолить и поперчить по вкусу""]";"[""Italian"",""Lunch""]";400;4;Оливье салат - популярное блюдо из отварных овощей с майонезом, которое подойдет как для обеда, так и для ужина.;pct_3
292;Каприччоза;Русская кухня;Обед;Medium;30;"[""Приготовить тесто"",""Выложить начинку из куриной грудки, помидоров, сыра и майонеза"",""Сложить в виде бумажного короба и запекать"",""Подавать горячим""]";"[""Italian"",""Lunch""]";600;2;Каприччоза - аппетитные и нежные конвертики из теста с начинкой, которые станут отличным ужином.;pct_4
293;Маринованные оливки;Русская кухня;Перекус;Easy;10;"[""Помыть оливки и залить их маринадом из оливкового масла, чеснока, лимонной цедры и специй"",""Ставить в холодильник на несколько часов""]";"[""Italian"",""Breakfast""]";200;1;Маринованные оливки - замечательный перекус, который можно подавать в качестве закуски к напиткам.;pct_5
294;Капуччино;Русская кухня;Завтрак;Easy;5;"[""Сварить кофе"",""Вспенить молоко"",""Полить молоко на кофе""]";"[""Italian"",""Breakfast""]";100;1;Капуччино - популярный итальянский напиток, который идеально подойдет для утреннего завтрака.;pct_6
295;Спагетти с мидиями;Русская кухня;Ужин;Medium;30;"[""Подготовить мидии"",""Обжарить лук и чеснок"",""Добавить мидии и вино"",""Добавить спагетти и кипяток"",""Подавать горячим""]";"[""Italian"",""Diner""]";600;2;Спагетти с мидиями - изысканное блюдо итальянской кухни, которое прекрасно подойдет для ужинов в кругу близких.;pct_1
